Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2488.65549979949/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x155c86c1c1947b22b6f761c3957c570fd1a76f104f9715698b37b8bdcbcaa34b,18909036,1704068963,2024/1/1 0:29,0x7f2e444b66ce0d81908911e4c0f4806b1bd072ec,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000519193,1.291727222,2352.65,,,Approve
0x450b01e6e0febccf690bea6b5b72c2ceeb6162a7d039759d8b7f7c8696b08668,18909421,1704073619,2024/1/1 1:46,0x9bd874c46c7d73de48a7bdacf7f18882ec2c49b0,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.00048131,1.197477311,2352.65,,,Approve
0xa1f845ebe88d7822c22138540c8081d3e2be0e23c05147b1fbd5bec621a57f73,18909652,1704076439,2024/1/1 2:33,0x468cb54a3821d8b0129c42ea6adf12748d97fd98,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000464892,1.156630812,2352.65,,,Approve
0x3b8e69c0067df4b06b33c4240d4117c323f990f2e2d6f40797ed59b1dedb7f21,18909680,1704076787,2024/1/1 2:39,0x7f2e444b66ce0d81908911e4c0f4806b1bd072ec,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000224579,0.558742393,2352.65,,,Approve
0x2ccb46cd346683308b138dfa12333ebd4c7f89448c513263d2d428a439d845ec,18910501,1704086759,2024/1/1 5:25,0x387acb7f56a6f29137a21d7eb755a3f638cab45b,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000464053,1.154541558,2352.65,,,Transfer
0xa99d2a83e34a4b2343b60c191dc0de4374de5177ea9d46f127603796e4ec3fa9,18911137,1704094451,2024/1/1 7:34,0xf0004c86b1251b10c7bf4672ca2bc59247a99bf5,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000229074,0.569925065,2352.65,,,Approve
0x06aee088218527b3492aef54b197d17e11b135b2a47a5638ee488a03ad8fb47a,18911555,1704099551,2024/1/1 8:59,0x00a12c076528e8aca18542a13b7eaa7beb07de2a,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000441463,1.098340359,2352.65,,,Approve
0xe16cbdb693eccac211782d0a519a11a5e447406673aa90948b28d86c9cbbf173,18911974,1704104651,2024/1/1 10:24,0x964d71f1623be9691633a91a0637b0b48c2e9858,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000562241,1.398829154,2352.65,,,Transfer
0xaa0fae132be4aead1c982fd4839679a8e7afadc2a8242cfd6d254b8ebc566040,18912064,1704105779,2024/1/1 10:42,0xd4f513a3a8db3ab5caa1a5b4c8ce812893b32760,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000320321,0.796943797,2352.65,,,Transfer
0x5bcf02d5d870da1f8cbf0909ddb8fa49c7e0fb0585d615c440e66455e76fc8dc,18912084,1704106019,2024/1/1 10:46,0xd4f513a3a8db3ab5caa1a5b4c8ce812893b32760,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000300453,0.747513625,2352.65,,,Transfer
0x611396aa755736e053f55c7b9f2669713378844feed7075d01b8a6a68071eee0,18912609,1704112451,2024/1/1 12:34,0x7dd75f3027b30d6fd84345790cb8acb76dfccbb1,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000537063,1.336187512,2352.65,,,Approve
0xca86d235e7007ea5e96cc434df8f54ba4a1689e148325535fe20dc6024632ed6,18913229,1704119999,2024/1/1 14:39,0xe87a10d5b212d169ccbc9a50cf5e23dd3da27cb6,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000511704,1.273096353,2352.65,,,Approve
0xbb08d5349ab03405204bce943306c51126abc974d6bd579236132661310f5cfd,18913960,1704128807,2024/1/1 17:06,0xfae8b4004fc0678dec7ab043288955095a6b9a86,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000752115,1.871227949,2352.65,,,Approve
0xf2dafbd222191a12e4b61550ac83f73ba24f6de989443c26130ba551803c89c0,18914602,1704136583,2024/1/1 19:16,0x1749ad951fb612b42dc105944da86c362a783487,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000589865,1.467557636,2352.65,,,Approve
0x53718610bc812777ba748cacdcb6da725cf7ac6fc8406df8d1aa3e21d3102e13,18914776,1704138731,2024/1/1 19:52,0x091ff5ff1fbeb093f538146bf78018826822d2b3,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000379282,0.943636372,2352.65,,,Approve
0x639db841e7e850df5f88cf53f957ed9a217d01c74ae1db6fffdceb202ec6fdf7,18915270,1704144683,2024/1/1 21:31,0xdce62b21a8b1a9b39dd3ded27c876d416cc91b3e,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000645756,1.606610949,2352.65,,,Approve
0xf389e305364b443a0e4e6eb84553c982e4af8b31a52028c1a8ff15ef20965450,18915334,1704145451,2024/1/1 21:44,0x95af7fffe0e7d40956d77bf3f55156d4483b4693,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000544822,1.355493101,2352.65,,,Approve
0x75ac0eb3834d8359ce97d656f24e66154b49b43fd78d7c3a13c694202379a580,18915748,1704150515,2024/1/1 23:08,0x34993e20033cfe4280d8fae0557cdd09042de668,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.00062068,1.544223726,2352.65,,,Approve
0x2b6743310da6537e9a06fd09c323e623013bb0a5cf6a5cf67bccdb414025cdc4,18916014,1704153767,2024/1/2 0:02,0xc62b048f702693e93eb77b01fd4cb3627c9e938c,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000611815,1.522166289,2356.28,,,Approve
0xb649f31b9d32e63b327a6c38b0d345448883d9c67b6581622801e936950a3ece,18916180,1704155795,2024/1/2 0:36,0xdda5401df50177b38202932fc5cec85c4ba30d62,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000765792,1.905254921,2356.28,,,Approve
0x47b6e05d458d6cf02192c4779a9bbb7d76ed8a3607a1624c126a67d1abac16bd,18916333,1704157643,2024/1/2 1:07,0xd78c8e543dce46a07f9c6f5b4652d2d90614ca18,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000907886,2.258777313,2356.28,,,Approve
0xb672c77a5db730ee353ac1592ae74f7d1c3b6ea1def4fb7e2252a99f8cff3616,18916473,1704159359,2024/1/2 1:35,0xac0f76a8c30e23bc197d26465e7be319713c5224,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,0,0,0,0.000409651,1.019192716,2356.28,,,Approve
